sample_id,label,npz_file,reconstruction_error
0,Neutral,./output_llm_both/sample_0.npz,-9181.5517578125
1,Neutral,./output_llm_both/sample_1.npz,-9169.7685546875
2,Neutral,./output_llm_both/sample_2.npz,-9198.4404296875
3,Challenging,./output_llm_both/sample_3.npz,-9158.5576171875
4,Challenging,./output_llm_both/sample_4.npz,-9174.7509765625
5,Challenging,./output_llm_both/sample_5.npz,-9112.6630859375
6,Challenging,./output_llm_both/sample_6.npz,-9267.20703125
7,Challenging,./output_llm_both/sample_7.npz,-9132.3671875
8,Challenging,./output_llm_both/sample_8.npz,-9139.130859375
9,Neutral,./output_llm_both/sample_9.npz,-9197.1083984375
10,Neutral,./output_llm_both/sample_10.npz,-9173.046875
11,Neutral,./output_llm_both/sample_11.npz,-9187.4443359375
12,Challenging,./output_llm_both/sample_12.npz,-9179.01171875
13,Challenging,./output_llm_both/sample_13.npz,-9157.37890625
14,Challenging,./output_llm_both/sample_14.npz,-9284.126953125
15,Neutral,./output_llm_both/sample_15.npz,-9136.8271484375
16,Challenging,./output_llm_both/sample_16.npz,-9179.9755859375
17,Challenging,./output_llm_both/sample_17.npz,-9205.3017578125
18,Neutral,./output_llm_both/sample_18.npz,-9142.8056640625
19,Neutral,./output_llm_both/sample_19.npz,-9281.0537109375
20,Neutral,./output_llm_both/sample_20.npz,-9274.3115234375
21,Challenging,./output_llm_both/sample_21.npz,-9073.2919921875
22,Neutral,./output_llm_both/sample_22.npz,-9150.1044921875
23,Neutral,./output_llm_both/sample_23.npz,-8914.5400390625
24,Challenging,./output_llm_both/sample_24.npz,-9147.462890625
25,Challenging,./output_llm_both/sample_25.npz,-9075.6025390625
26,Neutral,./output_llm_both/sample_26.npz,-9199.0224609375
27,Trivial,./output_llm_both/sample_27.npz,-9224.93359375
28,Neutral,./output_llm_both/sample_28.npz,-9133.4697265625
29,Challenging,./output_llm_both/sample_29.npz,-9158.5576171875
30,Challenging,./output_llm_both/sample_30.npz,-9225.810546875
31,Neutral,./output_llm_both/sample_31.npz,-9174.7509765625
32,Challenging,./output_llm_both/sample_32.npz,-9200.4677734375
33,Trivial,./output_llm_both/sample_33.npz,-9111.7490234375
34,Trivial,./output_llm_both/sample_34.npz,-9432.9423828125
35,Neutral,./output_llm_both/sample_35.npz,-9271.5888671875
36,Trivial,./output_llm_both/sample_36.npz,-9255.015625
37,Trivial,./output_llm_both/sample_37.npz,-9138.7353515625
38,Trivial,./output_llm_both/sample_38.npz,-9240.4775390625
39,Trivial,./output_llm_both/sample_39.npz,-9228.81640625
40,Trivial,./output_llm_both/sample_40.npz,-9210.5595703125
41,Trivial,./output_llm_both/sample_41.npz,-9323.634765625
42,Challenging,./output_llm_both/sample_42.npz,-9313.6298828125
43,Neutral,./output_llm_both/sample_43.npz,-9319.3505859375
44,Neutral,./output_llm_both/sample_44.npz,-9398.5908203125
45,Neutral,./output_llm_both/sample_45.npz,-9343.5205078125
46,Challenging,./output_llm_both/sample_46.npz,-9338.1357421875
47,Neutral,./output_llm_both/sample_47.npz,-9233.03125
48,Neutral,./output_llm_both/sample_48.npz,-9190.3046875
49,Neutral,./output_llm_both/sample_49.npz,-9116.736328125
50,Neutral,./output_llm_both/sample_50.npz,-9208.251953125
51,Neutral,./output_llm_both/sample_51.npz,-9155.337890625
52,Trivial,./output_llm_both/sample_52.npz,-9212.068359375
53,Trivial,./output_llm_both/sample_53.npz,-9280.201171875
54,Trivial,./output_llm_both/sample_54.npz,-9307.0703125
55,Neutral,./output_llm_both/sample_55.npz,-9200.9931640625
56,Challenging,./output_llm_both/sample_56.npz,-9092.3896484375
57,Neutral,./output_llm_both/sample_57.npz,-9111.7490234375
58,Challenging,./output_llm_both/sample_58.npz,-9207.3203125
59,Neutral,./output_llm_both/sample_59.npz,-9381.78515625
60,Neutral,./output_llm_both/sample_60.npz,-9157.9658203125
61,Challenging,./output_llm_both/sample_61.npz,-9166.1669921875
62,Neutral,./output_llm_both/sample_62.npz,-9264.9296875
63,Trivial,./output_llm_both/sample_63.npz,-9337.4326171875
64,Neutral,./output_llm_both/sample_64.npz,-9270.3515625
65,Neutral,./output_llm_both/sample_65.npz,-9245.9677734375
66,Neutral,./output_llm_both/sample_66.npz,-9350.8173828125
67,Neutral,./output_llm_both/sample_67.npz,-9440.39453125
68,Challenging,./output_llm_both/sample_68.npz,-9410.431640625
69,Challenging,./output_llm_both/sample_69.npz,-9319.1328125
70,Challenging,./output_llm_both/sample_70.npz,-9437.4072265625
71,Challenging,./output_llm_both/sample_71.npz,-9487.38671875
72,Neutral,./output_llm_both/sample_72.npz,-9321.427734375
73,Neutral,./output_llm_both/sample_73.npz,-9355.27734375
74,Neutral,./output_llm_both/sample_74.npz,-9408.1572265625
75,Trivial,./output_llm_both/sample_75.npz,-9301.908203125
76,Neutral,./output_llm_both/sample_76.npz,-9264.232421875
77,Challenging,./output_llm_both/sample_77.npz,-9171.607421875
78,Neutral,./output_llm_both/sample_78.npz,-9289.9765625
79,Neutral,./output_llm_both/sample_79.npz,-9329.1552734375
80,Trivial,./output_llm_both/sample_80.npz,-9325.17578125
81,Neutral,./output_llm_both/sample_81.npz,-9399.822265625
82,Neutral,./output_llm_both/sample_82.npz,-9362.3544921875
83,Neutral,./output_llm_both/sample_83.npz,-9402.4814453125
84,Trivial,./output_llm_both/sample_84.npz,-9279.603515625
85,Trivial,./output_llm_both/sample_85.npz,-9292.81640625
86,Neutral,./output_llm_both/sample_86.npz,-9467.822265625
87,Trivial,./output_llm_both/sample_87.npz,-9413.41015625
88,Neutral,./output_llm_both/sample_88.npz,-9347.6767578125
89,Neutral,./output_llm_both/sample_89.npz,-9235.6689453125
90,Trivial,./output_llm_both/sample_90.npz,-9243.97265625
91,Neutral,./output_llm_both/sample_91.npz,-9345.8486328125
92,Neutral,./output_llm_both/sample_92.npz,-9337.6064453125
93,Neutral,./output_llm_both/sample_93.npz,-9344.6474609375
94,Neutral,./output_llm_both/sample_94.npz,-9245.9677734375
95,Neutral,./output_llm_both/sample_95.npz,-9440.39453125
